stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
570,Bonifika,GRASS,Natural grass,https://www.transfermarkt.com/fc-koper/stadion/verein/433,https://en.wikipedia.org/wiki/Bonifika_Stadium,https://www.transfermarkt.com/fc-koper/stadion/verein/433,transfermarkt: surface mapped
791,Boris Paichadze Dinamo Arena,GRASS,Natural grass,https://www.transfermarkt.com/dinamo-tbilisi/stadion/verein/663,https://en.wikipedia.org/wiki/Boris_Paichadze_Dinamo_Arena,https://www.transfermarkt.com/dinamo-tbilisi/stadion/verein/663,transfermarkt: surface mapped
830,Borisov Arena,GRASS,Natural grass,https://www.transfermarkt.com/bate-borisov/stadion/verein/713,https://en.wikipedia.org/wiki/Borisov_Arena,https://www.transfermarkt.com/bate-borisov/stadion/verein/713,transfermarkt: surface mapped
1010,Bryntirion Park,ARTIFICIAL,Artificial turf Contact Address: DragonBet Stadium Llangewydd Road CF31 4JU Bry,https://www.transfermarkt.com/penybont-fc/stadion/verein/62026/saison_id/2025,,https://www.transfermarkt.com/penybont-fc/stadion/verein/62026/saison_id/2025,transfermarkt fallback: surface mapped
936,CTFD PortoGaia,GRASS,Natural grass,https://www.transfermarkt.com/fc-porto-b/stadion/verein/10331,https://en.wikipedia.org/wiki/CTFD_PortoGaia,https://www.transfermarkt.com/fc-porto-b/stadion/verein/10331,transfermarkt: surface mapped
1014,Cae-y-Castell,ARTIFICIAL,"Artificial turf Contact Address: Essity Stadium Marsh Lane CH6 5PJ Flint, Flint",https://www.transfermarkt.com/flint-town-united/stadion/verein/31188/saison_id/2025,https://en.wikipedia.org/wiki/Cae-y-Castell,https://www.transfermarkt.com/flint-town-united/stadion/verein/31188/saison_id/2025,transfermarkt fallback: surface mapped
906,Cambuur Stadion,GRASS,Hybrid grass,https://www.transfermarkt.com/sc-cambuur-leeuwarden/stadion/verein/133,https://en.wikipedia.org/wiki/Cambuur_Stadion,https://www.transfermarkt.com/sc-cambuur-leeuwarden/stadion/verein/133,transfermarkt: surface mapped
941,Campo Municipal de Gobela,ARTIFICIAL,Artificial turf,https://www.transfermarkt.com/arenas-club/stadion/verein/16122,https://en.wikipedia.org/wiki/Campo_Municipal_de_Gobela,https://www.transfermarkt.com/arenas-club/stadion/verein/16122,transfermarkt: surface mapped
971,Can Misses,GRASS,Natural grass,https://www.transfermarkt.com/ud-ibiza/stadion/verein/13241,https://en.wikipedia.org/wiki/Estadi_Municipal_de_Can_Misses,https://www.transfermarkt.com/ud-ibiza/stadion/verein/13241,transfermarkt: surface mapped
1016,Cardiff International Sports Campus,ARTIFICIAL,Artificial turf Contact Address: Cyncoed Campus Cyncoed Road CF23 6XD Cardiff W,https://www.transfermarkt.com/cardiff-metropolitan-university-fc/stadion/verein/53152/saison_id/2025,https://en.wikipedia.org/wiki/Cardiff_International_Sports_Campus,https://www.transfermarkt.com/cardiff-metropolitan-university-fc/stadion/verein/53152/saison_id/2025,transfermarkt fallback: surface mapped
875,Carl-Benz-Stadion,,,https://en.wikipedia.org/wiki/Carl-Benz-Stadion,https://en.wikipedia.org/wiki/Carl-Benz-Stadion,https://www.transfermarkt.com/sv-waldhof-mannheim/stadion/verein/85,wikipedia: surface not found
111,Carlo Speroni,GRASS,Natural grass,https://www.transfermarkt.com/aurora-pro-patria/stadion/verein/4146/saison_id/2025,https://it.wikipedia.org/wiki/Stadio_Carlo_Speroni,https://www.transfermarkt.com/aurora-pro-patria/stadion/verein/4146/saison_id/2025,transfermarkt: surface mapped
433,Carlos Belmonte,GRASS,Natural grass,https://www.transfermarkt.com/albacete-balompie/stadion/verein/1532,https://en.wikipedia.org/wiki/Estadio_Carlos_Belmonte,https://www.transfermarkt.com/albacete-balompie/stadion/verein/1532,transfermarkt: surface mapped
333,Cegeka Arena,GRASS,Natural grass,https://www.transfermarkt.com/krc-genk/stadion/verein/1184,https://en.wikipedia.org/wiki/Cegeka_Arena,https://www.transfermarkt.com/krc-genk/stadion/verein/1184,transfermarkt: surface mapped
835,Central Stadium,GRASS,Natural grass,https://www.transfermarkt.com/fk-gomel/stadion/verein/10694,https://en.wikipedia.org/wiki/Central_Stadium_(Gomel),https://www.transfermarkt.com/fk-gomel/stadion/verein/10694,transfermarkt: surface mapped
1036,Central Stadium,,,"https://ru.wikipedia.org/wiki/Центральный_(стадион,_Новороссийск)","https://ru.wikipedia.org/wiki/Центральный_(стадион,_Новороссийск)",https://www.transfermarkt.com/chernomorets-novorossijsk/stadion/verein/5287/saison_id/2025,wikipedia: surface not found
963,Centro Deportivo Alcalá de Henares,GRASS,Natural grass,https://www.transfermarkt.com/atletico-madrid-b/stadion/verein/3679,,https://www.transfermarkt.com/atletico-madrid-b/stadion/verein/3679,transfermarkt: surface mapped
985,Charentsavan City Stadium,ARTIFICIAL,Artificial turf,https://www.transfermarkt.com/fc-van/stadion/verein/74661,https://en.wikipedia.org/wiki/Charentsavan_City_Stadium,https://www.transfermarkt.com/fc-van/stadion/verein/74661,transfermarkt: surface mapped
586,Cherry Red Records Stadium,GRASS,Natural grass Contact Address: Cherry Red Records Stadium Plough Lane SW17 0NR,https://www.transfermarkt.com/afc-wimbledon/stadion/verein/3884,https://en.wikipedia.org/wiki/Plough_Lane,https://www.transfermarkt.com/afc-wimbledon/stadion/verein/3884,transfermarkt fallback: surface mapped
85,Ciro Vigorito,GRASS,Natural grass,https://www.transfermarkt.com/benevento-calcio/stadion/verein/4171/saison_id/2025,https://en.wikipedia.org/wiki/Stadio_Ciro_Vigorito,https://www.transfermarkt.com/benevento-calcio/stadion/verein/4171/saison_id/2025,transfermarkt: surface mapped
106,Città di Meda - Mino Favini,GRASS,Natural grass,https://www.transfermarkt.com/ac-renate/stadion/verein/24898/saison_id/2025,https://en.wikipedia.org/wiki/Stadio_Citt%C3%A0_di_Meda,https://www.transfermarkt.com/ac-renate/stadion/verein/24898/saison_id/2025,transfermarkt: surface mapped
839,City Stadium Dzerzhinsk,,,https://www.transfermarkt.com/arsenal-dzerzhinsk/stadion/verein/72822,,https://www.transfermarkt.com/arsenal-dzerzhinsk/stadion/verein/72822,transfermarkt: surface not found
965,Ciudad Deportiva Luis del Sol,GRASS,Natural grass,https://www.transfermarkt.com/real-betis-sevilla-b/stadion/verein/2865,,https://www.transfermarkt.com/real-betis-sevilla-b/stadion/verein/2865,transfermarkt: surface mapped
1027,Clandeboye Park,ARTIFICIAL,Artificial turf Contact Address: Clandeboye Park Clandeboye Road BT20 3JT Bango,https://www.transfermarkt.com/bangor-fc/stadion/verein/21531/saison_id/2025,https://en.wikipedia.org/wiki/Clandeboye_Park,https://www.transfermarkt.com/bangor-fc/stadion/verein/21531/saison_id/2025,transfermarkt fallback: surface mapped
345,Cluj Arena,GRASS,Natural grass,https://www.transfermarkt.com/fc-universitatea-cluj/stadion/verein/6429,https://en.wikipedia.org/wiki/Cluj_Arena,https://www.transfermarkt.com/fc-universitatea-cluj/stadion/verein/6429,transfermarkt: surface mapped
242,Coliseum,GRASS,Natural grass,https://www.transfermarkt.com/getafe-cf/stadion/verein/3709,https://en.wikipedia.org/wiki/Coliseum_Alfonso_P%C3%A9rez,https://www.transfermarkt.com/getafe-cf/stadion/verein/3709,transfermarkt: surface mapped
181,Complexo Desportivo FC Alverca,GRASS,Natural grass,https://www.transfermarkt.com/fc-alverca/stadion/verein/2521,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_de_Alverca,https://www.transfermarkt.com/fc-alverca/stadion/verein/2521,transfermarkt: surface mapped
112,Comunale Gino Corioni,GRASS,Natural grass,https://www.transfermarkt.com/cpr-ospitaletto/stadion/verein/5542/saison_id/2025,https://it.wikipedia.org/wiki/Stadio_Gino_Corioni,https://www.transfermarkt.com/cpr-ospitaletto/stadion/verein/5542/saison_id/2025,transfermarkt: surface mapped
84,Comunale di Caravaggio,GRASS,Natural grass,https://www.transfermarkt.com/atalanta-bergamo-weitere/stadion/verein/41110/saison_id/2025,,https://www.transfermarkt.com/atalanta-bergamo-weitere/stadion/verein/41110/saison_id/2025,transfermarkt: surface mapped
921,Covebo Stadion - De Koel,GRASS,Natural grass Contact Address: Seacon Stadion - De Koel Kaldenkerkerweg 182 591,https://www.transfermarkt.com/vvv-venlo/stadion/verein/1426,https://en.wikipedia.org/wiki/De_Koel,https://www.transfermarkt.com/vvv-venlo/stadion/verein/1426,transfermarkt fallback: surface mapped
110,Dal Molin,GRASS,Natural grass Contact Address: Dal Molin Via Consolini 17 36071 Arzignano (VI),https://www.transfermarkt.com/arzignano-valchiampo/stadion/verein/46619/saison_id/2025,https://it.wikipedia.org/wiki/Stadio_Tommaso_Dal_Molin,https://www.transfermarkt.com/arzignano-valchiampo/stadion/verein/46619/saison_id/2025,transfermarkt fallback: surface mapped
843,Dalga Arena,ARTIFICIAL,Artificial turf Contact Address: Liv Bona Dea Arena Baku Azerbaijan Pricing inf,https://www.transfermarkt.com/araz-naxcivan-nakchivan/stadion/verein/44360,https://en.wikipedia.org/wiki/Dalga_Arena,https://www.transfermarkt.com/araz-naxcivan-nakchivan/stadion/verein/44360,transfermarkt fallback: surface mapped
722,Daugava Stadium,GRASS,Natural grass,https://www.transfermarkt.com/fk-liepaja/stadion/verein/43162/saison_id/2025,https://en.wikipedia.org/wiki/Daugava_Stadium_(Liep%C4%81ja),https://www.transfermarkt.com/fk-liepaja/stadion/verein/43162/saison_id/2025,transfermarkt: surface mapped
319,De Adelaarshorst,GRASS,Natural grass,https://www.transfermarkt.com/go-ahead-eagles/stadion/verein/1435,https://en.wikipedia.org/wiki/De_Adelaarshorst,https://www.transfermarkt.com/go-ahead-eagles/stadion/verein/1435,transfermarkt: surface mapped
915,De Herdgang,ARTIFICIAL,"Artificial turf Contact Address: TenCate Stadion ""De Herdgang"" Oirschotsedijk 1",https://www.transfermarkt.com/psv-eindhoven-ii/stadion/verein/9715,https://en.wikipedia.org/wiki/De_Herdgang,https://www.transfermarkt.com/psv-eindhoven-ii/stadion/verein/9715,transfermarkt fallback: surface mapped
911,De Oude Meerdijk,ARTIFICIAL,Artificial turf Contact Address: De Oude Meerdijk Stadionplein 1 7825 SG Emmen,https://www.transfermarkt.com/fc-emmen/stadion/verein/1283,https://en.wikipedia.org/wiki/De_Oude_Meerdijk,https://www.transfermarkt.com/fc-emmen/stadion/verein/1283,transfermarkt fallback: surface mapped
405,Deepdale,GRASS,Natural grass,https://www.transfermarkt.com/preston-north-end/stadion/verein/466,https://en.wikipedia.org/wiki/Deepdale,https://www.transfermarkt.com/preston-north-end/stadion/verein/466,transfermarkt: surface mapped
1007,Deeside Stadium,ARTIFICIAL,"Artificial turf Contact Address: Essity Stadium Marsh Lane CH6 5PJ Flint, Flint",https://www.transfermarkt.com/connah-s-quay-nomads/stadion/verein/22499/saison_id/2025,https://en.wikipedia.org/wiki/Deeside_Stadium,https://www.transfermarkt.com/connah-s-quay-nomads/stadion/verein/22499/saison_id/2025,transfermarkt fallback: surface mapped
872,Dietmar-Hopp-Stadion,GRASS,Natural grass Contact Address: Dietmar-Hopp-Stadion Silbergasse 45 74889 Sinshe,https://www.transfermarkt.com/tsg-1899-hoffenheim-ii/stadion/verein/983,https://en.wikipedia.org/wiki/Dietmar-Hopp-Stadion,https://www.transfermarkt.com/tsg-1899-hoffenheim-ii/stadion/verein/983,transfermarkt fallback: surface mapped
511,"Dimotiko Stadio ""Tasos Markou""",GRASS,"Natural grass Contact Address: Dimotiko Stadio ""Tasos Markou"" Antonis Papadopou",https://www.transfermarkt.com/enosis-neon-paralimniou/stadion/verein/840,https://en.wikipedia.org/wiki/Tasos_Markou_Stadium,https://www.transfermarkt.com/enosis-neon-paralimniou/stadion/verein/840,transfermarkt fallback: surface mapped
