id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
865,Heydar Aliyev Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Heydar_Aliyev_Stadium
866,New Tivoli,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/New_Tivoli
867,Erzgebirgsstadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Eins_Erzgebirgsstadion
868,Stadion der Freundschaft,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_der_Freundschaft_(Cottbus)
869,Schauinsland-Reisen-Arena,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/MSV-Arena
870,Stadion an der Hafenstraße,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_an_der_Hafenstra%C3%9Fe
872,Dietmar-Hopp-Stadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Dietmar-Hopp-Stadion
873,Audi Sportpark,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Audi_Sportpark
874,Sportpark Höhenberg,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sportpark_H%C3%B6henberg
876,Grünwalder Stadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Gr%C3%BCnwalder_Stadion
877,Stadion an der Bremer Brücke,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stadion_an_der_Bremer_Br%C3%BCcke
878,Jahnstadion Regensburg,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Jahnstadion_Regensburg
879,Ostseestadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ostseestadion
880,Ludwigsparkstadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ludwigsparkstadion
881,Willy-Sachs-Stadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sachs-Stadion
882,WIRmachenDRUCK Arena,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/WIRmachenDRUCK_Arena
883,Donaustadion,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Donaustadion
884,Sportclub Arena,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sportclub_Arena
885,BRITA-Arena,Germany,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Brita-Arena
886,Stade de la Licorne,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_la_Licorne
887,Parc des Sports,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Parc_des_Sports_(Annecy)
888,Stade Armand Cesari,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Armand-Cesari
889,Stade de la Libération,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_la_Lib%C3%A9ration
890,Stade Gabriel Montpied,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Gabriel-Montpied
891,Stade Marcel Tribut,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Marcel-Tribut
892,Stade des Alpes,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_des_Alpes
893,Stade de Roudourou,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_Roudourou
894,Stade Francis Le Basser,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Francis_Le_Basser
895,Stade Marie-Marvingt,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Marie-Marvingt
896,Stade de la Mosson,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_de_la_Mosson
897,Stade Marcel Picot,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Marcel_Picot
898,Nouste Camp,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_du_Hameau
899,Stade Bauer,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Bauer
900,Stade Auguste-Delaune,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Auguste-Delaune
901,Stade Paul Lignon,France,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stade_Paul-Lignon
