stadium_id,stadium_name,field_name,old_value,new_value
751,Raudondvario stadionas,surface,,ARTIFICIAL
386,Red Bull Arena Salzburg,surface,,GRASS
441,Reino de León,surface,,GRASS
790,Republican Stadium (Yerevan),surface,,ARTIFICIAL
213,RheinEnergieSTADION,surface,,GRASS
579,Richmond Park,surface,,GRASS
128,Romeo Menti,surface,,ARTIFICIAL
815,Rostec Arena,surface,,GRASS
824,Rostov Arena,surface,,GRASS
580,Ryan McBride Brandywell Stadium,surface,,ARTIFICIAL
536,SC Mladost Pančevo,surface,,ARTIFICIAL
532,SRC Mr Radoš Milovanović,surface,,ARTIFICIAL
999,Sammy Ofer Stadium,surface,,GRASS
309,Samsun Yeni 19 Mayıs,surface,,GRASS
667,Samsung völlurinn,surface,,ARTIFICIAL
235,San Mamés,surface,,GRASS
123,Sandro Cabassi,surface,,GRASS
869,Schauinsland-Reisen-Arena,surface,,GRASS
387,Schnabelholz,surface,,GRASS
416,SchücoArena,surface,,GRASS
489,Schützenwiese,surface,,GRASS
1020,Seaview,surface,,ARTIFICIAL
354,Sepsi Duna Arena,surface,,GRASS
1063,Serik İsmail Oğan Stadium,surface,,GRASS
1026,Shamrock Park,surface,,GRASS
721,Skonto Stadium,surface,,GRASS
438,SkyFi Castalia,surface,,GRASS
814,Solidarnost Samara Arena,surface,,GRASS
820,Solidarnost Samara Arena,surface,,GRASS
1019,Solitude,surface,,ARTIFICIAL
823,Sovcombank Arena,surface,,GRASS
328,Sparta-stadion - Het Kasteel,surface,,GRASS
842,Spartak Stadium Bobruisk,surface,,GRASS
838,Spartak Stadium Mogilev,surface,,GRASS
884,Sportclub Arena,surface,,GRASS
913,Sportpark De Toekomst,surface,,GRASS
874,Sportpark Höhenberg,surface,,GRASS
708,Stade An de Millewisen,surface,,GRASS
888,Stade Armand Cesari,surface,,GRASS
900,Stade Auguste-Delaune,surface,,GRASS
899,Stade Bauer,surface,,GRASS
153,Stade Bollaert-Delelis,surface,,GRASS
894,Stade Francis Le Basser,surface,,GRASS
890,Stade Gabriel Montpied,surface,,GRASS
902,Stade Geoffroy Guichard,surface,,GRASS
340,Stade Joseph Mariën,surface,,GRASS
897,Stade Marcel Picot,surface,,GRASS
891,Stade Marcel Tribut,surface,,GRASS
895,Stade Marie-Marvingt,surface,,GRASS
746,Stade Municipal de la Ville de Differdange,surface,,GRASS
901,Stade Paul Lignon,surface,,GRASS
161,Stade Raymond-Kopa,surface,,GRASS
701,Stade Um Dribbel,surface,,GRASS
785,Stade de France,surface,,GRASS
893,Stade de Roudourou,surface,,GRASS
903,Stade de l'Aube,surface,,GRASS
889,Stade de la Libération,surface,,GRASS
886,Stade de la Licorne,surface,,GRASS
896,Stade de la Mosson,surface,,GRASS
892,Stade des Alpes,surface,,GRASS
339,Stade du Pays de Charleroi,surface,,GRASS
75,Stadio Breda,surface,,GRASS
117,Stadio Città dell’Aria,surface,,ARTIFICIAL
510,Stadio Ethnikos Achnas (Dasaki),surface,,GRASS
90,Stadio Giuseppe Capozza,surface,,GRASS
61,Stadio dei Marmi,surface,,ARTIFICIAL
231,Stadion Bruk-Bet,surface,,GRASS
917,Stadion De Geusselt,surface,,ARTIFICIAL
907,Stadion De Vijverberg,surface,,GRASS
908,Stadion De Vliert,surface,,ARTIFICIAL
317,"Stadion Feyenoord ""De Kuip""",surface,,GRASS
230,Stadion GOSiR,surface,,GRASS
374,Stadion Juliska,surface,,GRASS
909,Stadion Krommedijk,surface,,GRASS
379,Stadion Letná,surface,,GRASS
483,Stadion Letzigrund,surface,,GRASS
795,Stadion Miejski (Kraków),surface,,GRASS
808,Stadion Miejski w Niepołomicach,surface,,GRASS
809,Stadion Miejski w Rzeszowie,surface,,GRASS
805,Stadion Miejski w Siedlcach,surface,,GRASS
806,Stadion Polonii Bytom,surface,,ARTIFICIAL
637,Stadion Rođeni,surface,,GRASS
566,Stadion ViOn,surface,,GRASS
877,Stadion an der Bremer Brücke,surface,,GRASS
870,Stadion an der Hafenstraße,surface,,GRASS
868,Stadion der Freundschaft,surface,,GRASS
228,Stadion im. Braci Czachorów,surface,,GRASS
802,Stadion im. Orła Białego,surface,,GRASS
798,Stadion przy ulicy Rudnowskiej,surface,,GRASS
793,Stadion Śląski,surface,,GRASS
755,Stadions Esplanade,surface,,ARTIFICIAL
735,Stadionul Selemet,surface,,GRASS
743,Stadiumi Flamurtari,surface,,GRASS
745,Stadiumi Vore,surface,,ARTIFICIAL
1028,Stangmore Park,surface,,GRASS
1015,Stebonheath Park,surface,,GRASS
254,Stora Valla,surface,,GRASS
264,Strandvallen,surface,,GRASS
986,Suva Reka City Stadium,surface,,ARTIFICIAL
712,Ta' Qali National Stadium,surface,,GRASS
950,Tajonar,surface,,GRASS
576,Tallaght Stadium,surface,,GRASS
794,Tarczyński Arena,surface,,GRASS
995,Teddy Stadium,surface,,GRASS
855,Tengiz Burjanadze Stadium,surface,,GRASS
700,Terrain ZAC Klengbousbierg,surface,,GRASS
1008,The Oval,surface,,GRASS
1018,The Oval,surface,,GRASS
585,The RSC,surface,,GRASS
1022,The Showgrounds,surface,,GRASS
781,Timsah Arena,surface,,GRASS
389,Tivoli Stadion Tirol,surface,,GRASS
849,Tofiq Bahramov Stadium,surface,,GRASS
577,Tolka Park,surface,,GRASS
98,Tonino D'Angelo,surface,,ARTIFICIAL
833,Torpedo Stadium,surface,,GRASS
589,Toughsheet Community Stadium,surface,,GRASS
853,Tovuz City Stadium,surface,,GRASS
613,Tsentralnyi Polissya,surface,,GRASS
861,Tskaltubo Central Stadium,surface,,GRASS
105,Tullio Saleri,surface,,GRASS
82,Tullo Morgagni,surface,,GRASS
307,Turka Araç Muayene Kocaeli Stadyumu,surface,,GRASS
998,Turner Stadium,surface,,GRASS
799,Tychy City Stadium,surface,,GRASS
68,U-Power Stadium,surface,,GRASS
434,UD Almería Stadium,surface,,GRASS
984,Urartu Stadium,surface,,GRASS
816,VEB Arena,surface,,GRASS
818,VTB Arena,surface,,GRASS
465,Vejle Stadion,surface,,GRASS
432,Veltins-Arena,surface,,GRASS
829,Vitebsky CSK,surface,,GRASS
212,Volksparkstadion,surface,,GRASS
882,WIRmachenDRUCK Arena,surface,,GRASS
601,Weston Homes Stadium,surface,,GRASS
631,Wiklöf Holding Arena,surface,,GRASS
881,Willy-Sachs-Stadion,surface,,GRASS
787,Windsor Park,surface,,GRASS
801,Władysław Król Stadium,surface,,GRASS
905,Yanmar Stadion,surface,,GRASS
784,Yeni Ankara Stadyumu,surface,,GRASS
980,Yerevan Football Academy Stadium,surface,,GRASS
847,Yevlakh City Stadium,surface,,ARTIFICIAL
997,Yud-Alef Stadium,surface,,GRASS
834,Yunost Stadium,surface,,GRASS
1062,Yusuf Ziya Öniş Stadium,surface,,GRASS
991,Zahir Pajaziti Stadium,surface,,GRASS
756,Zemgales Olimpiskais centrs,surface,,GRASS
854,Zira Olympic Sport Complex,surface,,GRASS
487,kybunpark,surface,,GRASS
297,Çaykur Didi,surface,,GRASS
