stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
106,Città di Meda - Mino Favini,,,,https://en.wikipedia.org/wiki/Stadio_Citt%C3%A0_di_Meda,https://www.transfermarkt.com/ac-renate/stadion/verein/24898/saison_id/2025,
839,City Stadium Dzerzhinsk,,,,,https://www.transfermarkt.com/arsenal-dzerzhinsk/stadion/verein/72822,
965,Ciudad Deportiva Luis del Sol,,,,,https://www.transfermarkt.com/real-betis-sevilla-b/stadion/verein/2865,
1027,Clandeboye Park,,,,https://en.wikipedia.org/wiki/Clandeboye_Park,https://www.transfermarkt.com/bangor-fc/stadion/verein/21531/saison_id/2025,
345,Cluj Arena,,,,https://en.wikipedia.org/wiki/Cluj_Arena,https://www.transfermarkt.com/fc-universitatea-cluj/stadion/verein/6429,
242,Coliseum,,,,https://en.wikipedia.org/wiki/Coliseum_Alfonso_P%C3%A9rez,https://www.transfermarkt.com/getafe-cf/stadion/verein/3709,
181,Complexo Desportivo FC Alverca,,,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_de_Alverca,https://www.transfermarkt.com/fc-alverca/stadion/verein/2521,
112,Comunale Gino Corioni,,,,https://it.wikipedia.org/wiki/Stadio_Gino_Corioni,https://www.transfermarkt.com/cpr-ospitaletto/stadion/verein/5542/saison_id/2025,
84,Comunale di Caravaggio,,,,,https://www.transfermarkt.com/atalanta-bergamo-weitere/stadion/verein/41110/saison_id/2025,
921,Covebo Stadion - De Koel,,,,https://en.wikipedia.org/wiki/De_Koel,https://www.transfermarkt.com/vvv-venlo/stadion/verein/1426,
110,Dal Molin,,,,https://it.wikipedia.org/wiki/Stadio_Tommaso_Dal_Molin,https://www.transfermarkt.com/arzignano-valchiampo/stadion/verein/46619/saison_id/2025,
843,Dalga Arena,,,,https://en.wikipedia.org/wiki/Dalga_Arena,https://www.transfermarkt.com/araz-naxcivan-nakchivan/stadion/verein/44360,
722,Daugava Stadium,,,,https://en.wikipedia.org/wiki/Daugava_Stadium_(Liep%C4%81ja),https://www.transfermarkt.com/fk-liepaja/stadion/verein/43162/saison_id/2025,
319,De Adelaarshorst,,,,https://en.wikipedia.org/wiki/De_Adelaarshorst,https://www.transfermarkt.com/go-ahead-eagles/stadion/verein/1435,
915,De Herdgang,,,,https://en.wikipedia.org/wiki/De_Herdgang,https://www.transfermarkt.com/psv-eindhoven-ii/stadion/verein/9715,
911,De Oude Meerdijk,,,,https://en.wikipedia.org/wiki/De_Oude_Meerdijk,https://www.transfermarkt.com/fc-emmen/stadion/verein/1283,
405,Deepdale,,,,https://en.wikipedia.org/wiki/Deepdale,https://www.transfermarkt.com/preston-north-end/stadion/verein/466,
1007,Deeside Stadium,,,,https://en.wikipedia.org/wiki/Deeside_Stadium,https://www.transfermarkt.com/connah-s-quay-nomads/stadion/verein/22499/saison_id/2025,
872,Dietmar-Hopp-Stadion,,,,https://en.wikipedia.org/wiki/Dietmar-Hopp-Stadion,https://www.transfermarkt.com/tsg-1899-hoffenheim-ii/stadion/verein/983,
511,"Dimotiko Stadio Tasos Markou""""",,,,https://en.wikipedia.org/wiki/Tasos_Markou_Stadium,https://www.transfermarkt.com/enosis-neon-paralimniou/stadion/verein/840,
831,Dinamo Stadium,,,,https://en.wikipedia.org/wiki/Dinamo_Stadium_(Minsk),https://www.transfermarkt.com/dinamo-minsk/stadion/verein/1180,
996,Doha Stadium,,,,https://en.wikipedia.org/wiki/Doha_Stadium,https://www.transfermarkt.com/ihud-bnei-sachnin/stadion/verein/4769,
95,Domenico Francioni,,,,https://en.wikipedia.org/wiki/Stadio_Domenico_Francioni,https://www.transfermarkt.com/latina-calcio-1932/stadion/verein/22045/saison_id/2025,
97,Domenico Monterisi,,,,,https://www.transfermarkt.com/audace-cerignola/stadion/verein/22249/saison_id/2025,
100,Donato Curcio,,,,,https://www.transfermarkt.com/az-picerno/stadion/verein/49430/saison_id/2025,
883,Donaustadion,,,,https://en.wikipedia.org/wiki/Donaustadion,https://www.transfermarkt.com/ssv-ulm-1846/stadion/verein/69,
350,Dr. Constantin Rădulescu,,,,https://en.wikipedia.org/wiki/Cluj_Arena,https://www.transfermarkt.com/cfr-cluj/stadion/verein/7769,
65,Druso,,,,https://en.wikipedia.org/wiki/Stadio_Druso,https://www.transfermarkt.com/fc-sudtirol/stadion/verein/4554/saison_id/2025,
1046,Eduard Streltsov Stadium,,,,https://en.wikipedia.org/wiki/Eduard_Streltsov_Stadium,https://www.transfermarkt.com/torpedo-moscow/stadion/verein/1186/saison_id/2025,
871,Eilenriedestadion,,,,https://en.wikipedia.org/wiki/Eilenriedestadion,https://www.transfermarkt.com/tsv-havelse/stadion/verein/476,
